"","lags","obs","rho","trho","p.trho","sigma2ST","sigma2LT"
"NewCasePht",14,112681,-0.0855929783769503,-33.6533925251941,1.16171132596204e-40,529.641440721981,16.3464064691485
"CumCasesPC",0,112695,-0.0127993297893989,-26.9338122264512,8.42573574702648e-52,3.19639756214912e-05,1.98647325706778e-05
"Humidity_ma_lag",14,112681,-0.0051030678020947,-17.8688939751036,6.379992912518e-43,0.225732839958411,0.273063547901677
"RetailRec_ma_lag_scaled",14,112681,-0.022489989049416,-41.9750223430973,6.04200660334239e-15,0.0174471876224376,0.00689195417446583
"GroceryPharmacy_ma_lag_scaled",14,112681,-0.0249758850738978,-39.1753319078638,6.9723187529975e-24,0.0223993692681643,0.0064713054839668
"Parks_ma_lag_scaled",14,112681,-0.0102948578846861,-24.9842496232263,2.99375460864975e-52,0.014935084073132,0.0110710681007557
"Transit_ma_lag_scaled",14,112681,-0.0119048540257126,-28.633158250944,2.51779296525309e-50,0.0115520032201187,0.00583112703984436
"Workplaces_ma_lag_scaled",14,112681,-0.0366113661606087,-47.1590525669234,1e-04,0.0522094705975509,0.0112599249774469
"Residential_ma_lag_scaled",14,112681,-0.0249859787144435,-42.0518177951782,1.0341560110601e-14,0.0351167820717903,0.0112571037618537
