"","lags","obs","rho","trho","p.trho","sigma2ST","sigma2LT"
"NewCasePht",8,45445,-0.099286597441031,-26.5918688252466,5.61929290485881e-52,132.036587999031,5.28261679159524
"CumCasesPC",0,45453,-0.0202850149110047,-21.580981822524,7.82526102990689e-50,3.29990547497003e-06,1.3882349253051e-06
"Humidity_ma_lag",1,45452,-0.015224401622118,-19.3279117157716,4.04461077028059e-46,0.831851191459025,0.297424237331768
"RetailRec_ma_lag_scaled",7,45446,-0.0313054326651848,-33.1787126144657,7.18352605685126e-42,0.0354514256144754,0.0160224249661494
"GroceryPharmacy_ma_lag_scaled",10,45443,-0.0318944098758487,-30.4127544539033,9.48901717289622e-48,0.0350236759779572,0.0139554927551534
"Parks_ma_lag_scaled",14,45439,-0.0173156902536734,-18.9784780456525,2.08773678211319e-45,0.0361148399116083,0.0135693484758907
"Transit_ma_lag_scaled",10,45443,-0.0212319597686128,-24.6413026327038,3.43955983056601e-52,0.0200861577969928,0.00998314653728093
"Workplaces_ma_lag_scaled",14,45439,-0.0622557990622902,-39.0663034613141,3.07086049057597e-24,0.112032767575349,0.0261753234864003
"Residential_ma_lag_scaled",14,45439,-0.0388398521135592,-33.3460158409863,1.88964135936772e-41,0.0716416465731679,0.0258255453905622
