"","lags","obs","rho","trho","p.trho","sigma2ST","sigma2LT"
"NewCasePht",14,67227,-0.109676269468375,-28.846129682906,4.51966263117199e-50,787.168145976848,21.8957051132529
"CumCasesPC",0,67241,-0.0160117715693764,-23.2925131270662,1.50044875813517e-51,3.10449507506645e-05,1.32603725499703e-05
"Humidity_ma_lag",14,67227,-0.0108990261236714,-18.1758723883976,1.21539579374083e-43,0.352835543094994,0.129128556133695
"RetailRec_ma_lag_scaled",14,67227,-0.0179669295866293,-23.1332094706666,1.96702127081742e-51,0.0132292952525116,0.00447709289995565
"GroceryPharmacy_ma_lag_scaled",14,67227,-0.0192798010554397,-22.3134322700514,1.08907015599424e-50,0.0179507645854694,0.00507459154781274
"Parks_ma_lag_scaled",14,67227,-0.0191128355104659,-25.2222737415756,2.87675102430658e-52,0.0197157140807505,0.00795359258623469
"Transit_ma_lag_scaled",14,67227,-0.0106894677377684,-18.9204242562688,2.76337042778086e-45,0.0127136651331347,0.00700121269790677
"Workplaces_ma_lag_scaled",14,67227,-0.0264002395168387,-26.5481021677472,5.3719318196903e-52,0.0306961035361324,0.00715642792394276
"Residential_ma_lag_scaled",14,67227,-0.0155323675777295,-20.758604792009,1.16168639669507e-48,0.020609805572429,0.00667634256300924
