"Model","Cluster","Absolute Humidity (14-day Lag)","Retail and Recreation (14-day Lag)","Grocery Stores and Pharmacies (14-day Lag)","Parks (14-day Lag)","Transit Stations (14-day Lag)","Workplaces (14-day Lag)","Residential (14-day Lag)","Immunity Factor","New Cases per 100,000 (14-day Lag)","FIPS"
"Parks (Oct 2020 - Mar 2021)","High 2",1.79505766514269,NA,NA,1.74167053418188,NA,NA,NA,1.64006047046698,1.1159272152934,1.01219348761146
"Transit (Oct 2020 - Mar 2021)","High 2",1.67641103310275,NA,NA,NA,2.51664056756024,NA,NA,1.64045915060796,1.11721784237326,1.01689352154523
"Workplaces (Oct 2020 - Mar 2021)","High 2",1.69641322329048,NA,NA,NA,NA,1.21403930167029,NA,1.67288147059507,1.11910118528539,1.00932994433453
"Residential (Oct 2020 - Mar 2021)","High 2",1.73773926019057,NA,NA,NA,NA,NA,1.48844821889114,1.71180451762559,1.12239942721985,1.01080990154107
"All (Entire Year)","High 2",1.90728687786076,3.74095676146484,2.85210188913719,2.2998349893712,2.83671512137554,2.31329001077251,3.14092429113357,1.83802379993764,1.15273219784659,1.02970495983311
"Absolute Humidity (Entire Year)","High 2",1.60458329655733,NA,NA,NA,NA,NA,NA,1.52670615017716,1.19653179393457,1.00505250046743
"Retail and Rec (Entire Year)","High 2",1.57751274972148,1.26816205481141,NA,NA,NA,NA,NA,1.52499867458246,1.19561990874319,1.00693321785512
"Grocery and Pharmacy (Entire Year)","High 2",1.58236296121224,NA,1.35564949467411,NA,NA,NA,NA,1.51907086712842,1.19966097652013,1.00760358729618
"Parks (Entire Year)","High 2",1.79011113054376,NA,NA,1.54350708841431,NA,NA,NA,1.542510837736,1.19589370051945,1.00897974680227
"Transit (Entire Year)","High 2",1.61452793402615,NA,NA,NA,1.78636454543779,NA,NA,1.53153047567194,1.19811792999318,1.01051755723138
"Workplaces (Entire Year)","High 2",1.64117122771111,NA,NA,NA,NA,1.22129915652672,NA,1.60816897594944,1.19696137534088,1.00685572164626
"Residential (Entire Year)","High 2",1.61096396645458,NA,NA,NA,NA,NA,1.27655526939861,1.58140735233582,1.19708126049993,1.00703826640288
"All (Mar 2020 - Sep 2020)","Low 1",1.62471579535801,7.0373386640578,3.95296645955354,5.53567546603061,5.13395696352432,3.63424353195495,3.57121229026775,2.34059315579616,1.56229855445934,1.11780660717447
"Absolute Humidity (Mar 2020 - Sep 2020)","Low 1",1.36305400095585,NA,NA,NA,NA,NA,NA,1.82684120127203,1.52417731263736,1.01929001807152
"Retail and Rec (Mar 2020 - Sep 2020)","Low 1",1.34810316753468,1.9277541273608,NA,NA,NA,NA,NA,1.99221907541712,1.53617403300392,1.02672198854337
"Grocery and Pharmacy (Mar 2020 - Sep 2020)","Low 1",1.37113043319325,NA,1.81414710143542,NA,NA,NA,NA,2.00927776987109,1.52481157802032,1.02785023313786
"Parks (Mar 2020 - Sep 2020)","Low 1",1.36417316466961,NA,NA,3.01363068046468,NA,NA,NA,2.47084084089133,1.52601345230692,1.0405062896029
"Transit (Mar 2020 - Sep 2020)","Low 1",1.36092586089039,NA,NA,NA,2.16542165542705,NA,NA,1.8856873264135,1.5255223526284,1.03607384234273
"Workplaces (Mar 2020 - Sep 2020)","Low 1",1.37739993175808,NA,NA,NA,NA,1.34108572086224,NA,1.85113567671583,1.52374056432795,1.02568515215481
"Residential (Mar 2020 - Sep 2020)","Low 1",1.40074812158353,NA,NA,NA,NA,NA,1.22535425115735,1.81530371858956,1.52333678273658,1.02378596502689
"All (Oct 2020 - Mar 2021)","Low 1",1.43747439877167,4.10177684864291,3.35834922035356,2.6549242243227,4.24475247510396,3.58762180089409,5.02687485448913,1.86362358415611,1.27204064940685,1.14754802380897
"Absolute Humidity (Oct 2020 - Mar 2021)","Low 1",1.36692181075619,NA,NA,NA,NA,NA,NA,1.42049832934883,1.13388477136081,1.01379235565071
